,word,mean,syn
10,lung,"[': one of the usually paired compound saccular thoracic organs that constitute the basic respiratory organs of an air-breathing vertebrate', ': any of various respiratory organs of invertebrates', ': a device enabling individuals abandoning a submarine to rise to the surface', ': a mechanical device for regularly introducing fresh air into and withdrawing stale air from the lung : respirator  — compare iron lung', ': either one of the two organs that people and animals use to breathe air', ': either of two organs in the chest that are like bags and are the main breathing structure in animals that breathe air', ': one of the usually two compound saccular organs that constitute the basic respiratory organ of air-breathing vertebrates, that normally occupy the entire lateral parts of the thorax and consist essentially of an inverted tree of intricately branched bronchioles communicating with thin-walled terminal alveoli swathed in a network of delicate capillaries where the actual gaseous exchange of respiration takes place, and that in humans are somewhat flattened with a broad base resting against the diaphragm and have the right lung divided into three lobes and the left into two lobes', ': any of various respiratory organs of invertebrates', ': a mechanical device for regularly introducing fresh air into and withdrawing stale air from the lungs : respirator  — see iron lung']", 
11,motion,"[': an act, process, or instance of changing place : movement', ': an active or functioning state or condition', ': an impulse or inclination of the mind or will', ': a proposal for action', ': a formal proposal made in a deliberative assembly ', ': an application made to a court or judge to obtain an order, ruling, or direction', ': a puppet show', ': puppet', ': mechanism', ': an act or instance of moving the body or its parts : gesture', ': activities, movements', ': melodic change of pitch', ': running parallel to the line of scrimmage before the snap', ': to signal by a movement or gesture', ': to direct by a motion', 'Sir Andrew 1952–\u2002\u2002\u2002\u2002 British poet; poet laureate (1999–2009)', ': an act or process of moving : movement', ': a movement of your body or of a part of your body', ': a formal suggestion or proposal that is made at a meeting for something to be done', ': to make a movement of your hand, head, etc., that tells someone to move or act in a certain way', ': an act or process of changing place or position : movement', ': a movement of the body or its parts', ': a formal plan or suggestion for action offered according to the rules of a meeting', ': to direct or signal by a movement or sign', ': an act, process, or instance of changing place : movement', ': an evacuation of the bowels', ': the matter evacuated', ': a proposal for action', ': a formal proposal made in a legislative assembly ', ': an application made to a court or judge to obtain an order, ruling, or direction', ': a document containing such an application', ': the initiative of a court to issue an order, ruling, or direction', ': a motion that is filed before an answer and that requests the court to order the plaintiff to clarify allegations in the complaint because the claims are so vague or ambiguous that an answer cannot reasonably be framed', ': a motion made after pleadings have been entered that requests the court to issue a judgment at that point  — compare summary judgment at judgment sense 1a', ': a usually pretrial motion that requests the court to issue an interlocutory order which prevents an opposing party from introducing or referring to potentially irrelevant, prejudicial, or otherwise generally inadmissible evidence until the court has finally ruled on its admissibility', ': a motion in a civil trial to remove from a pleading an insufficient defense or any redundant, immaterial, impertinent, or scandalous matter', ': a motion in a criminal trial to exclude evidence from the record', ': a pretrial motion requesting the court to exclude evidence that was obtained illegally and especially in violation of Fourth, Fifth, and Sixth Amendment protections', ': a motion that makes multiple requests', ': move']","['move', 'movement', 'shift', 'shifting', 'stir', 'stirring']"
12,pace,"[': rate of movement', ': an established rate of locomotion', ': rate of progress', ': parallel rate of growth or development ', ': an example to be emulated', ': first place in a competition ', ': rate of performance or delivery : tempo', ': speed ', ': rhythmic animation : fluency', ': a manner of walking : tread', ': step sense 2a(1)', ': any of various units of distance based on the length of a human step', ': an exhibition or test of skills or capacities', ': gait', ': a fast 2-beat gait (as of the horse) in which the legs move in lateral pairs and support the animal alternately on the right and left legs', ': to walk with often slow or measured tread', ': to move along : proceed', ': to go at a pace', ': to measure by pacing', ': to cover at a walk', ': to cover (a course) by pacing', ': to set or regulate the pace of', ': to establish a moderate or steady pace for (oneself)', ': to go before : precede', ': to set an example for : lead', ': to keep pace with', ': contrary to the opinion of', ': the speed at which someone or something moves', ': the speed at which something happens', ': a single step or the length of a single step', ': to walk back and forth across the same space again and again especially because you are nervous', ': to control or set the speed of (someone or something)', ': the speed of moving forward or ahead', ': the speed at which something is done or happens', "": a horse's gait in which the legs on the same side move at the same time"", ': a single step or its length', ': to walk back and forth across', ': to walk with slow steps', ': to measure by steps', ': to set or regulate the speed at which something is done or happens']","['file', 'march', 'parade', 'stride']"
13,polite,"[': of, relating to, or having the characteristics of advanced culture', ': marked by refined cultural interests and pursuits especially in arts and belles lettres', ': showing or characterized by correct social usage', ': marked by an appearance of consideration, tact, deference, or courtesy', ': marked by a lack of roughness or crudities', ': having or showing good manners or respect for other people', ': socially correct or proper', ': showing courtesy or good manners']","['civil', 'courteous', 'genteel', 'gracious', 'mannerly', 'well-bred']"
14,possess,"[': to have or own (something)', ': to have or show (a particular quality, ability, skill, etc.)', ': to enter into and control (someone)', ': to have and hold as property : own', ': to have as an attribute, knowledge, or skill', "": to seize and take control of : take into one's possession"", ': to enter into and control firmly : dominate', ': to bring or cause to fall under the influence, domination, or control of some emotional or intellectual response or reaction', ': to instate as owner', ': to make the owner or holder', ': to have and hold as property : own', ': to have as a characteristic or quality', ': to enter into and control', ': to have possession of']","['command', 'enjoy', 'have', 'hold', 'own', 'retain']"
15,rapidly,"[': marked by a fast rate of motion, activity, succession, or occurrence', ': a part of a river where the current is fast and the surface is usually broken by obstructions', ': happening in a short amount of time : happening quickly', ': having a fast rate', ': moving quickly', ': very fast']","['blistering', 'breakneck', 'breathless', 'brisk', 'dizzy', 'fast', 'fleet', 'fleet-footed', 'flying', 'galloping', 'hasty', 'hot', 'lightning', 'nippy', 'quick', 'rapid-fire', 'rattling', 'snappy', 'speedy', 'splitting', 'swift', 'whirlwind', 'zippy']"
16,remark,"[': the act of remarking : notice', ': an expression of opinion or judgment', ': mention of that which deserves attention or notice', ': to take notice of : observe', ': to express as an observation or comment : say', ': to notice something and comment thereon', ': something that someone says or writes to express an opinion or idea : comment', ': the act of noticing or making a comment about something', ': a short speech or a part of a speech', ': to make a statement about someone or something : to make a remark', ': a brief comment', ': a short speech', ': to make a comment : express as an observation']","['comment', 'note', 'reflection']"
17,seek,"[': to search for (someone or something) : to try to find (someone or something)', ': to ask for (help, advice, etc.)', ': to try to get or achieve (something)', ': to resort to : go to', ': to go in search of : look for', ': to try to discover', ': to ask for : request', ': to try to acquire or gain : aim at', ': to make an attempt : try', ': to make a search or inquiry', ': to be sought', ': to be lacking', ': to try to find', ': to try to win or get', ': to make an attempt']","['cast about (for)', 'cast around (for)', 'chase (down)', 'forage (for)', 'hunt', 'look up', 'pursue', 'quest', 'search (for or out)', 'shop (for)']"
18,shine,"[': to emit rays of light', ': to be bright by reflection of light', ': to be eminent, conspicuous, or distinguished', ': to perform extremely well', ': to have a bright glowing appearance', ': to be conspicuously evident or clear', ': to cause to emit light', ': to throw or direct the light of', ': to make bright by polishing', ': brightness caused by the emission of light', ': brightness caused by the reflection of light : luster', ': brilliance, splendor', ': fair weather : sunshine', ': trick, caper', ': liking, fancy', ': a polish or gloss given to shoes', ': a single polishing of a pair of shoes', ': to give off light', ': to have a smooth surface that reflects light', ': to be very good or successful at an activity', ': the brightness that results when light is reflected from a surface', ': the act of polishing a pair of shoes', ': to give off light', ': to be glossy : gleam', ': to direct the light of', ': to be outstanding', ': to make bright by polishing', ': brightness from light given off or reflected', ': fair weather : sunshine', ': polish entry 2 sense 1']","['beam', 'radiate', 'ray']"
19,spill,"[': to cause or allow especially accidentally or unintentionally to fall, flow, or run out so as to be lost or wasted', ': to cause (blood) to be lost by wounding', ': kill, destroy', ': to let out : divulge', ': to relieve (a sail) from the pressure of the wind so as to reef or furl it', ': to relieve the pressure of (wind) on a sail by coming about or by adjusting the sail with lines', ': to throw off or out', ': to flow, run, or fall out, over, or off and become wasted, scattered, or lost', ': to cause or allow something to spill', ': to spread profusely or beyond bounds', "": to fall from one's place (as on a horse)"", ': to divulge especially personal information', ': to divulge secret or hidden information', ': the act or an instance of spilling', ': a fall from a horse or vehicle or an erect position', ': something spilled', ': a wooden splinter', ': a small roll or twist of paper or slip of wood for lighting a fire', ': to cause or allow (something) to fall, flow, or run over the edge of a container usually in an accidental way', ': to fall or flow over the edge of a container', ': to move or spread out into a wider place or area', ': to cause or allow to fall, flow, or run out so as to be wasted or scattered', ': to flow or run out, over, or off and become wasted or scattered', ': to cause (blood) to flow by wounding', ': to make known', ': an act of spilling', ': a fall especially from a horse or vehicle', ': something spilled']","['bare', 'disclose', 'discover', 'divulge', 'expose', 'let on (about)', 'reveal', 'tell', 'unbosom', 'uncloak', 'uncover', 'unmask', 'unveil']"
20,bring,"[': to convey, lead, carry, or cause to come along with one toward the place from which the action is being regarded', ': to cause to be, act, or move in a special way: such as', ': attract', ': persuade, induce', ': force, compel', ': to cause to come into a particular state or condition', ': escort, accompany', ': to bear as an attribute or characteristic', ': to cause to exist or occur: such as', ': to be the occasion of', ': to result in', ': institute', ': adduce', ': prefer', ': to procure in exchange : sell for', ': yield, produce', ': bear', ': to give birth to : produce', ': adduce', ': to produce to view : introduce', ': to carry (a total) forward', ': to make unmistakably clear', ': to bring to book', ': reprimand', ': to use with effect', ': to compel to give an account', ': disclose, reveal', ': recall', ': to compel to agree, assent, or submit', ': to come last or behind', ': to come with (something or someone) to a place', ': to cause (something or someone) to come', ': to cause (something) to exist, happen, or start', ': to cause to come by carrying or leading : take along', ': to cause to reach a certain state or take a certain action', ': to cause to arrive or exist', ': to sell for', ': to cause to happen', "": to cause to return to a person's memory"", ': to cause to happen or exist : produce', ': to cause to happen to', ': to produce and make available', ': to cause to appear', ': to bring back from unconsciousness : revive', ': to bring to maturity through care and education', ': to mention when talking', ': to begin or commence (a legal proceeding) through proper legal procedure: as', ': to put (as a lawsuit) before a court', ': to formally assert (as a charge or indictment)']","['beget', 'breed', 'bring about', 'bring on', 'catalyze', 'cause', 'create', 'do', 'draw on', 'effect', 'effectuate', 'engender', 'generate', 'induce', 'invoke', 'make', 'occasion', 'produce', 'prompt', 'result (in)', 'spawn', 'translate (into)', 'work', 'yield']"
21,castle,"[': a large fortified building or set of buildings', ': a massive or imposing house', ': a retreat safe against intrusion or invasion', ': rook entry 3', ': to establish in a castle', ': to move (the chess king) in castling', ': to move a chess king two squares toward a rook and in the same move the rook to the square next past the king', ': a large building usually with high, thick walls and towers that was built in the past to protect against attack', ': a large expensive house', ': a piece in the game of chess that looks like a castle tower : rook', ': a large building or group of buildings usually having high walls with towers that was built in the past to protect against attack', ': a large or impressive house']","['bastion', 'citadel', 'fastness', 'fort', 'fortification', 'fortress', 'hold', 'redoubt', 'stronghold']"
22,command,"[': to give (someone) an order : to tell (someone) to do something in a forceful and often official way', ': to have authority and control over (a group of people, such as soldiers)', ': to deserve or be able to get or receive (something)', ': to direct authoritatively : order', ': to exercise a dominating influence over : have command of: such as', "": to have at one's immediate disposal"", "": to demand or receive as one's due"", ': to overlook or dominate from or as if from a strategic position', ': to have military command of as senior officer', ': to order or request to be given', ': to have or exercise direct authority : govern', ': to give orders', ': to be commander', ': to dominate as if from an elevated place', ': an order given', ': a signal that actuates a device (such as a control mechanism in a spacecraft or one step in a computer)', ': the activation of a device by means of such a signal', ': a line of code (see code entry 1 sense 5) instructing a computer to send such a signal', ': the ability to control : mastery', ': the authority or right to command', ': the power to dominate', ': scope of vision', ': facility in use', ': control sense 1d', ': the act of commanding', ': the personnel, area, or organization under a commander', ': a unit of the U.S. Air Force higher than an air force', ': a position of highest usually military authority', ': when an order is given : in response to a command', ': done on command or request', ': to order with authority', ': to have power or control over : be commander of', ': to demand as right or due : exact', ': to survey from a good position', ': an order given', ': the authority, right, or power to command : control', ': the ability to control and use : mastery', ': the people, area, or unit (as of soldiers and weapons) under a commander', ': a position from which military operations are directed']","['adjure', 'bid', 'boss (around)', 'charge', 'direct', 'enjoin', 'instruct', 'order', 'tell']"
23,counsel,"[': advice given especially as a result of consultation', ': a policy or plan of action or behavior', ': deliberation, consultation', ': purpose', ': guarded thoughts or intentions', ': a lawyer engaged in the trial or management of a case in court', ': a lawyer appointed to advise and represent in legal matters an individual client or a corporate and especially a public body', ': consultant sense 2', ': advise', ': consult', ': advice given to someone', ': a lawyer who represents a person or group in a court of law', ': to give advice to (someone)', ': to listen to and give support or advice to (someone) especially as a job', ': to suggest or recommend (something)', ': advice given', ': a lawyer representing someone in court', ': to give advice to : advise', ': to suggest or recommend', ': advice given especially as a result of consultation', ': to advise especially seriously and formally after consultation', ': lawyer: as', ': a lawyer participating in the management or trial of a case in court', ': a lawyer appointed or engaged to advise or represent a client in legal matters (as negotiations or the drafting of documents)  — compare attorney', ': assisting another lawyer in a case', ': employed on a part-time basis', ': advise']","['advocate', 'attorney', 'attorney-at-law', 'counselor', 'counsellor', 'counselor-at-law', 'lawyer', 'legal eagle']"
24,ensure,"[': to make (something) sure, certain, or safe', ': to make sure, certain, or safe : guarantee', ': to make sure, certain, or safe : guarantee']","['assure', 'cinch', 'guarantee', 'guaranty', 'ice', 'insure', 'secure']"
25,explosion,"[': the act or an instance of exploding', ': a large-scale, rapid, or spectacular expansion or bursting out or forth', ': the release of occluded breath that occurs in one kind of articulation of stop consonants', ': the sudden, loud, and violent release of energy that happens when something (such as a bomb) breaks apart in a way that sends parts flying outward', ': a sudden and very fast increase', ': a sudden expression of some strong emotion', ': a sudden and noisy bursting (as of a bomb) : the act of exploding', ': a sudden outburst of feeling', ': the act or an instance of exploding']","['blast', 'blowup', 'burst', 'bursting', 'detonation', 'eruption', 'outburst']"
26,jewelry,"[': ornamental pieces (such as rings, necklaces, earrings, and bracelets) that are made of materials which may or may not be precious (such as gold, silver, glass, and plastic), are often set with genuine or imitation gems, and are worn for personal adornment', '  — see also costume jewelry', ': decorative objects (such as rings, necklaces, and earrings) that people wear on their body', ': ornamental pieces (as rings or necklaces) worn on the body']", 
27,land,"[': the solid part of the surface of the Earth : an area of ground', "": an area of the earth's solid surface that is owned by someone"", ': a country or nation', ': the solid part of the surface of the earth', ': a corresponding part of a celestial body (such as the moon)', ': ground or soil of a specified situation, nature, or quality', ': the surface of the earth and all its natural resources', "": a portion of the earth's solid surface distinguishable by boundaries or ownership"", ': such as', ': country', ': a rural area characterized by farming or ranching', ': farming or ranching as a way of life ', ': realm, domain', ': the people of a country', ': an area of a partly machined surface (such as the inside of a gun barrel) that is left without machining', ': to set or put on shore from a ship : disembark', ': to set down after conveying', ': to cause to reach or come to rest in a particular place', ': to bring to a specified condition', ': to bring to a landing', ': to complete successfully by landing', ': to catch and bring in', ': gain, secure', ': to go ashore from a ship : disembark', ': to touch at a place on shore', ': to come to the end of a course or to a stage in a journey : arrive', ': to come to be in a condition or situation', ': to strike or meet a surface (as after a fall)', ': to alight on a surface', 'Edwin Herbert 1909–1991 American inventor and industrialist', ': the solid part of the surface of the earth', ': an area of ground or soil of a particular kind', "": a part of the earth's surface marked off by boundaries"", ': a country or nation', ': the people of a country', ': to go ashore or cause to go ashore from a ship', ': to come down or bring down and settle on a surface', ': to hit or come to a surface', ': to be or cause to be in a particular place or condition', ': to catch and bring in', ': to succeed in getting', ': an area of the earth usually inclusive of improvements, bodies of water, and natural or man-made objects and extending indefinitely upward and downward  — compare air right', ': an estate, interest, or right in land']","['commonwealth', 'country', 'nation', 'sovereignty', 'sovranty', 'state']"
28,meteor,"[': an atmospheric phenomenon (such as lightning or a snowfall)', ': any of the small particles of matter in the solar system that are directly observable only by their incandescence from frictional heating on entry into the atmosphere', ': the streak of light produced by the passage of a meteor', "": a piece of rock or metal that burns and glows brightly in the sky as it falls from outer space into the Earth's atmosphere"", "": one of the small pieces of matter in the solar system that enter the earth's atmosphere where friction may cause them to glow and form a streak of light""]", 
29,monster,"[': an animal of strange or terrifying shape', ': one unusually large for its kind', ': an animal or plant of abnormal form or structure', ': one who deviates from normal or acceptable behavior or character', ': a threatening force', ': something monstrous', ': a person of unnatural or extreme ugliness, deformity, wickedness, or cruelty ', ': one that is highly successful', ': enormous or impressive especially in size, extent, or numbers', ': a strange or horrible imaginary creature', ': something that is extremely or unusually large', ': a powerful person or thing that cannot be controlled and that causes many problems', ': very popular and successful', ': a strange or horrible creature', ': something unusually large', ': an extremely wicked or cruel person']","['grotesque', 'grotesquerie', 'grotesquery', 'monstrosity', 'ogre']"
30,northern,"[': of, relating to, or characteristic of a region conventionally designated North', ': of, relating to, or constituting the northern dialect', ': lying toward the north', ': coming from the north', ': the dialect of English spoken in the part of the U.S. north of a line running northwest through central New Jersey, below the northern tier of counties in Pennsylvania, through northern Ohio, Indiana, and Illinois, across central Iowa, and through the northwest corner of South Dakota', ': pike entry 3 sense 1a', ': located in or toward the north', ': of or relating to the north', ': of, relating to, or like that of the North', ': lying toward or coming from the north']", 
